labels	start	stop
male	0.0	5.18
noEnergy	5.18	6.5
noise	6.5	7.76
noEnergy	7.76	8.18
male	8.18	9.540000000000001
noEnergy	9.540000000000001	10.72
male	10.72	12.52
noEnergy	12.52	13.280000000000001
male	13.280000000000001	14.280000000000001
noEnergy	14.280000000000001	15.82
male	15.82	19.12
noEnergy	19.12	20.76
noise	20.76	22.52
noEnergy	22.52	25.560000000000002
noise	25.560000000000002	27.92
noEnergy	27.92	30.12
male	30.12	32.4
noEnergy	32.4	33.02
male	33.02	34.38
noEnergy	34.38	35.46
male	35.46	39.82
noise	39.82	42.74
noEnergy	42.74	43.2
noise	43.2	46.52
