speaker_id,wav_number,file_size,speech_duration,gender,channel
S0084,183,172174,5379,M,1
S0084,219,228524,7140,M,1
S0084,248,139310,4352,M,1
S0084,267,118090,3688,M,1
S0084,73,99434,3105,M,1
S0084,11,82158,2566,M,1
S0084,188,132236,4131,M,1
S0084,326,118380,3698,M,1
S0084,151,111600,3486,M,1
S0084,208,149520,4671,M,1
S0084,330,135948,4247,M,1
S0084,220,134254,4194,M,1
S0084,148,129676,4051,M,1
S0084,14,163402,5104,M,1
S0084,97,112174,3504,M,1
S0084,192,133934,4184,M,1
S0084,87,191404,5980,M,1
S0084,265,89518,2796,M,1
S0084,288,101966,3185,M,1
S0084,345,144142,4503,M,1
S0084,24,134798,4211,M,1
S0084,287,72778,2272,M,1
S0084,153,99114,3095,M,1
S0084,30,257098,8032,M,1
S0084,138,132850,4150,M,1
S0084,99,87532,2734,M,1
S0084,256,134794,4210,M,1
S0084,115,135372,4229,M,1
S0084,249,92876,2901,M,1
S0084,144,121778,3804,M,1
S0084,43,112716,3521,M,1
S0084,226,201036,6281,M,1
S0084,150,204458,6387,M,1
S0084,197,142442,4449,M,1
S0084,309,171342,5353,M,1
S0084,123,110158,3441,M,1
S0084,255,91790,2867,M,1
S0084,141,110158,3441,M,1
S0084,95,89512,2795,M,1
S0084,285,220006,6873,M,1
S0084,254,194536,6077,M,1
S0084,102,127982,3998,M,1
S0084,64,73098,2282,M,1
S0084,53,95466,2981,M,1
S0084,169,96044,3000,M,1
S0084,334,169356,5291,M,1
S0084,133,113256,3537,M,1
S0084,84,106766,3335,M,1
S0084,162,82986,2591,M,1
S0084,172,99692,3114,M,1
S0084,105,211536,6609,M,1
S0084,302,92044,2875,M,1
S0084,182,81294,2539,M,1
S0084,207,132810,4148,M,1
S0084,120,97998,3061,M,1
S0084,198,87818,2742,M,1
S0084,175,184044,5750,M,1
S0084,137,112428,3512,M,1
S0084,125,94606,2955,M,1
S0084,82,93490,2920,M,1
S0084,124,118092,3689,M,1
S0084,185,106474,3325,M,1
S0084,247,76778,2397,M,1
S0084,168,192846,6025,M,1
S0084,261,128552,4015,M,1
S0084,315,113004,3530,M,1
S0084,155,112716,3521,M,1
S0084,200,110184,3441,M,1
S0084,341,98834,3087,M,1
S0084,100,141030,4405,M,1
S0084,241,98566,3078,M,1
S0084,281,199340,6228,M,1
S0084,348,100810,3148,M,1
S0084,231,89232,2787,M,1
S0084,90,187180,5848,M,1
S0084,322,159434,4980,M,1
S0084,209,104240,3256,M,1
S0084,160,141904,4433,M,1
S0084,199,81294,2539,M,1
S0084,203,159144,4971,M,1
S0084,118,84680,2644,M,1
S0084,111,116426,3636,M,1
S0084,264,91500,2858,M,1
S0084,234,109896,3432,M,1
S0084,215,126286,3945,M,1
S0084,292,221132,6909,M,1
S0084,216,171020,5343,M,1
S0084,317,124904,3901,M,1
S0084,145,164520,5139,M,1
S0084,333,132810,4148,M,1
S0084,214,212646,6643,M,1
S0084,167,113292,3539,M,1
S0084,301,90634,2830,M,1
S0084,173,122638,3831,M,1
S0084,308,84142,2628,M,1
S0084,303,151502,4733,M,1
S0084,236,102224,3193,M,1
S0084,221,111852,3494,M,1
S0084,232,92076,2876,M,1
S0084,201,112716,3521,M,1
S0084,166,109896,3432,M,1
S0084,343,132262,4131,M,1
S0084,250,120942,3778,M,1
S0084,187,112972,3529,M,1
S0084,295,95176,2972,M,1
S0084,129,195082,6094,M,1
S0084,225,125170,3910,M,1
S0084,253,116110,3627,M,1
S0084,211,109606,3423,M,1
S0084,316,97708,3052,M,1
S0084,320,100810,3148,M,1
S0084,154,86958,2716,M,1
S0084,293,125740,3928,M,1
S0084,146,64012,1999,M,1
S0084,259,128846,4025,M,1
S0084,283,176684,5520,M,1
S0084,258,129420,4043,M,1
S0084,235,110732,3459,M,1
S0084,186,167622,5236,M,1
S0084,263,91788,2867,M,1
S0084,233,150954,4715,M,1
S0084,158,101966,3185,M,1
S0084,272,122090,3813,M,1
S0084,329,91498,2857,M,1
S0084,268,122092,3814,M,1
S0084,161,111598,3486,M,1
S0084,174,144426,4511,M,1
S0084,269,139052,4344,M,1
S0084,305,111020,3468,M,1
S0084,213,157740,4928,M,1
S0084,210,114126,3565,M,1
S0084,222,114122,3564,M,1
S0084,279,145004,4530,M,1
S0084,180,113004,3530,M,1
S0084,294,109900,3433,M,1
S0084,314,105356,3291,M,1
S0084,298,121224,3786,M,1
S0084,340,113834,3555,M,1
S0084,307,97708,3052,M,1
S0084,291,176428,5512,M,1
S0084,242,180364,5635,M,1
S0084,206,129676,4051,M,1
S0084,312,174732,5459,M,1
S0084,310,83852,2619,M,1
S0084,311,162252,5069,M,1
S0084,271,149810,4680,M,1
S0084,224,161132,5034,M,1
S0084,245,105642,3299,M,1
S0084,296,93482,2919,M,1
S0084,275,148400,4636,M,1
S0084,251,116974,3654,M,1
S0084,262,89224,2786,M,1
S0084,237,119532,3734,M,1
S0084,318,146700,4583,M,1
S0084,228,120654,3769,M,1
S0084,238,133930,4183,M,1
S0084,306,111310,3477,M,1
S0084,280,137068,4282,M,1
S0084,270,82700,2583,M,1
S0084,230,196812,6149,M,1
S0084,276,206442,6449,M,1
S0084,328,125740,3928,M,1
S0084,282,120906,3776,M,1
S0084,321,113548,3547,M,1
S0084,252,137606,4298,M,1
S0084,246,191404,5980,M,1
S0084,347,272684,8520,M,1
S0084,266,177290,5538,M,1
